
SPDR S&P 500 ETF Trust,Last: 388.55,Change:  2.99
"Date: 19 September 2022, 8:29 PM GMT-4",Bid: 389.76,Ask: 389.8,Size: 1*6,"Volume: 7,31,75,183"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Oct 10 2022,SPY221010C00390000,8.57,0.96,8.44,8.48,137,0.2322,0.517,0.0178,125,390.00,SPY221010P00390000,9.22,-2.025,9.26,9.31,239,0.2435,-0.485,0.0179,1782
Mon Oct 10 2022,SPY221010C00392000,7.51,0.865,7.39,7.43,64,0.2289,0.481,0.018,84,392.00,SPY221010P00392000,10.54,-1.745,10.21,10.27,14,0.2404,-0.5214,0.0182,344
Mon Oct 10 2022,SPY221010C00394000,6.7,0.95,6.41,6.45,29,0.2255,0.4442,0.0182,61,394.00,SPY221010P00394000,11.72,-1.675,11.23,11.3,8,0.2372,-0.5586,0.0184,361
Wed Oct 12 2022,SPY221012C00385000,11.07,0.245,11.85,11.91,173,0.2418,0.599,0.0158,33,385.00,SPY221012P00385000,7.79,-1.6,7.63,7.69,197,0.2531,-0.4022,0.0159,855
Wed Oct 12 2022,SPY221012C00386000,10.21,-0.04,11.24,11.3,188,0.2406,0.5834,0.016,101,386.00,SPY221012P00386000,8.22,-1.6,8.02,8.07,314,0.2517,-0.418,0.0162,285
Wed Oct 12 2022,SPY221012C00388000,10.35,1.19,10.07,10.12,110,0.2377,0.5514,0.0165,23,388.00,SPY221012P00388000,9.05,-1.68,8.84,8.9,219,0.2488,-0.4503,0.0166,682
Wed Oct 12 2022,SPY221012C00390000,9,0.88,8.95,9,153,0.2346,0.5182,0.0168,49,390.00,SPY221012P00390000,9.87,-1.825,9.73,9.78,460,0.2457,-0.4838,0.017,2666
Wed Oct 12 2022,SPY221012C00392000,7.42,0.27,7.9,7.95,13,0.2315,0.4842,0.0171,149,392.00,SPY221012P00392000,10.36,-2.365,10.67,10.73,223,0.2427,-0.5183,0.0173,690
Wed Oct 12 2022,SPY221012C00394000,6.14,-0.1,6.91,6.97,3,0.2282,0.4494,0.0172,129,394.00,SPY221012P00394000,12.05,-1.78,11.69,11.76,163,0.2397,-0.5535,0.0174,254
Fri Oct 14 2022,SPY221014C00387000,10.87,0.49,11.35,11.4,377,0.2461,0.567,0.0152,236,387.00,SPY221014P00387000,8.93,-1.91,9.01,9.06,671,0.2554,-0.4351,0.0154,1105
Fri Oct 14 2022,SPY221014C00387500,10.81,0.7,11.06,11.11,81,0.2453,0.5595,0.0153,311,387.50,SPY221014P00387500,9.1,-1.965,9.22,9.26,349,0.2547,-0.4427,0.0155,359
Fri Oct 14 2022,SPY221014C00388000,10.79,0.95,10.77,10.82,237,0.2445,0.5518,0.0154,440,388.00,SPY221014P00388000,9.36,-1.94,9.43,9.48,393,0.254,-0.4504,0.0156,1349
Fri Oct 14 2022,SPY221014C00389000,9.91,0.6,10.2,10.25,159,0.243,0.5365,0.0156,216,389.00,SPY221014P00389000,9.94,-1.835,9.87,9.91,286,0.2524,-0.466,0.0158,1745
Fri Oct 14 2022,SPY221014C00390000,9.66,0.865,9.65,9.7,640,0.2415,0.5209,0.0157,941,390.00,SPY221014P00390000,10.39,-1.87,10.31,10.36,959,0.251,-0.4818,0.0159,3529
Fri Oct 14 2022,SPY221014C00391000,8.78,0.485,9.11,9.16,176,0.24,0.5051,0.0158,420,391.00,SPY221014P00391000,10.89,-1.875,10.78,10.83,454,0.2496,-0.4978,0.016,1567
Mon Oct 17 2022,SPY221017C00385000,12.53,0.745,12.83,12.9,172,0.2406,0.5951,0.0144,38,385.00,SPY221017P00385000,8.52,-1.695,8.46,8.53,405,0.2512,-0.4065,0.0146,475
Mon Oct 17 2022,SPY221017C00386000,11.2,-0.01,12.22,12.29,6,0.2394,0.5808,0.0146,31,386.00,SPY221017P00386000,8.98,-1.655,8.85,8.92,206,0.2499,-0.4209,0.0148,194
Mon Oct 17 2022,SPY221017C00388000,11.22,1.105,11.04,11.11,42,0.2365,0.5515,0.015,38,388.00,SPY221017P00388000,9.67,-1.875,9.67,9.74,35,0.2469,-0.4506,0.0152,433
Mon Oct 17 2022,SPY221017C00390000,10,0.935,9.92,9.99,169,0.2336,0.5213,0.0153,40,390.00,SPY221017P00390000,10.61,-1.895,10.55,10.62,194,0.2443,-0.4812,0.0155,1187
Mon Oct 17 2022,SPY221017C00392000,9.15,1.07,8.86,8.93,9,0.2307,0.4903,0.0155,177,392.00,SPY221017P00392000,13.3,-0.22,11.5,11.57,2,0.2414,-0.5126,0.0158,402
Mon Oct 17 2022,SPY221017C00394000,8.15,1,7.87,7.93,50,0.2279,0.4587,0.0157,75,394.00,SPY221017P00394000,14.1,-0.5,12.5,12.58,1,0.2387,-0.5447,0.0159,58
Wed Oct 19 2022,SPY221019C00385000,13.15,0.905,13.29,13.36,137,0.2422,0.5932,0.0139,68,385.00,SPY221019P00385000,8.84,-1.78,8.86,8.92,170,0.2525,-0.4084,0.014,572
Wed Oct 19 2022,SPY221019C00386000,12.14,0.465,12.68,12.75,70,0.2409,0.5795,0.0141,2,386.00,SPY221019P00386000,9.33,-1.715,9.25,9.31,121,0.2512,-0.4223,0.0142,72
Wed Oct 19 2022,SPY221019C00388000,11.39,0.815,11.51,11.57,21,0.2382,0.5513,0.0144,5,388.00,SPY221019P00388000,10.14,-1.805,10.08,10.14,117,0.2484,-0.4508,0.0146,62
Wed Oct 19 2022,SPY221019C00390000,10.36,0.835,10.38,10.45,121,0.2353,0.5223,0.0147,47,390.00,SPY221019P00390000,10.97,-1.925,10.95,11.02,333,0.2455,-0.4802,0.0149,749
Wed Oct 19 2022,SPY221019C00392000,9.11,0.58,9.32,9.38,146,0.2326,0.4926,0.0149,255,392.00,SPY221019P00392000,11.96,-1.95,11.89,11.96,29,0.2429,-0.5104,0.0151,1021
Wed Oct 19 2022,SPY221019C00394000,7.07,-0.52,8.31,8.37,64,0.2297,0.4623,0.015,44,394.00,SPY221019P00394000,15.22,0.24,12.89,12.96,60,0.2402,-0.5412,0.0153,80
Fri Oct 21 2022,SPY221021C00386000,13.39,1.225,13.19,13.24,6930,0.2437,0.5797,0.0135,3563,386.00,SPY221021P00386000,9.56,-1.865,9.65,9.68,3690,0.2524,-0.4227,0.0137,13807
Fri Oct 21 2022,SPY221021C00387000,12.89,1.285,12.6,12.64,2412,0.2423,0.5663,0.0137,1863,387.00,SPY221021P00387000,9.96,-1.905,10.05,10.09,19356,0.251,-0.4363,0.0139,24800
Fri Oct 21 2022,SPY221021C00388000,12.09,1.03,12.02,12.06,2335,0.2411,0.5527,0.0138,6295,388.00,SPY221021P00388000,10.45,-1.875,10.47,10.51,3200,0.2496,-0.4502,0.014,12996
Fri Oct 21 2022,SPY221021C00389000,11.49,0.965,11.45,11.49,3231,0.2395,0.5388,0.014,2006,389.00,SPY221021P00389000,10.9,-1.89,10.9,10.94,2350,0.2482,-0.4642,0.0142,17559
Fri Oct 21 2022,SPY221021C00390000,10.92,0.915,10.89,10.93,10485,0.2382,0.5248,0.0141,13475,390.00,SPY221021P00390000,11.35,-1.92,11.35,11.38,18984,0.2469,-0.4785,0.0143,114729
Fri Oct 21 2022,SPY221021C00391000,10.09,0.59,10.35,10.39,1535,0.2367,0.5107,0.0142,4949,391.00,SPY221021P00391000,11.65,-2.115,11.81,11.84,2148,0.2455,-0.4929,0.0144,11880
Mon Oct 24 2022,SPY221024C00385000,13.78,0.785,14.04,14.15,18,0.2385,0.5916,0.013,32,385.00,SPY221024P00385000,9.4,-1.835,9.44,9.57,284,0.2486,-0.4104,0.0132,334
Mon Oct 24 2022,SPY221024C00386000,13.18,13.18,13.43,13.55,15,0.2375,0.5787,0.0132,0,386.00,SPY221024P00386000,10.22,10.22,9.83,9.96,45,0.2473,-0.4235,0.0134,0
Mon Oct 24 2022,SPY221024C00388000,12.33,12.33,12.25,12.37,15,0.2349,0.5523,0.0135,0,388.00,SPY221024P00388000,10.72,10.72,10.66,10.78,19,0.2446,-0.4504,0.0137,0
Mon Oct 24 2022,SPY221024C00390000,10.9,0.64,11.12,11.24,35,0.2322,0.5251,0.0138,18,390.00,SPY221024P00390000,11.86,-1.635,11.53,11.65,6,0.2421,-0.478,0.014,16
Mon Oct 24 2022,SPY221024C00392000,8.69,8.69,10.04,10.16,10,0.2293,0.4973,0.014,0,392.00,SPY221024P00392000,14.58,14.58,12.46,12.58,30,0.2394,-0.5063,0.0142,0
Mon Oct 24 2022,SPY221024C00394000,0,0,9.03,9.14,0,0.2267,0.4689,0.0141,0,394.00,SPY221024P00394000,15.79,15.79,13.45,13.57,3,0.2368,-0.5352,0.0144,0
Fri Oct 28 2022,SPY221028C00387000,13.25,0.465,13.78,13.84,13,0.2406,0.5658,0.0125,37,387.00,SPY221028P00387000,11.35,-1.485,11.02,11.07,50,0.249,-0.4372,0.0127,612
Fri Oct 28 2022,SPY221028C00387500,13.35,0.845,13.49,13.55,564,0.2399,0.5596,0.0126,11,387.50,SPY221028P00387500,11.48,-1.575,11.23,11.28,30,0.2483,-0.4435,0.0128,295
Fri Oct 28 2022,SPY221028C00388000,13.15,0.915,13.2,13.26,507,0.2394,0.5534,0.0126,13,388.00,SPY221028P00388000,11.49,-1.795,11.44,11.49,279,0.2476,-0.4499,0.0128,497
Fri Oct 28 2022,SPY221028C00389000,12.77,1.07,12.62,12.68,74,0.238,0.5407,0.0128,52,389.00,SPY221028P00389000,11.9,-1.845,11.87,11.92,300,0.2463,-0.4627,0.013,490
Fri Oct 28 2022,SPY221028C00390000,12.5,1.335,12.06,12.12,270,0.2367,0.528,0.0129,332,390.00,SPY221028P00390000,12.3,-1.92,12.31,12.36,542,0.245,-0.4757,0.0131,2260
Fri Oct 28 2022,SPY221028C00391000,11.46,0.81,11.52,11.57,31,0.2353,0.515,0.013,112,391.00,SPY221028P00391000,12.65,-2.055,12.76,12.82,51,0.2437,-0.4889,0.0132,381
